Assault,Asterix,BattleZone,BeamRider,Boxing,Breakout,CrazyClimber,DemonAttack,DoubleDunk,Enduro,FishingDerby,MsPacman,NameThisGame,Phoenix,Pong,Qbert,SpaceInvaders,Tutankham,VideoPinball
21649.75,217036.0,118540.0,50761.92,99.39,514.74,121372.0,134700.65,21.06,2349.59,46.1,7311.0,27176.6,142698.6,18.2,27185.75,35858.6,175.44,510985.72
23747.2,341896.0,122800.0,54133.0,99.48,563.0,116002.0,135303.25,21.22,2336.36,44.0,7324.76,27121.4,227123.6,18.6,27259.5,37054.9,175.59,446409.96
22637.58,380948.0,116640.0,47916.72,99.25,573.56,117114.0,133667.85,20.82,2341.03,46.58,7187.2,27417.3,179694.3,18.64,28282.75,37231.3,188.24,520251.41
23386.53,341022.0,120880.0,65126.52,99.48,545.56,116500.0,133968.95,20.96,2339.77,48.78,7733.04,27263.2,236326.0,18.66,26576.75,36502.35,184.83,520334.68
24450.19,319630.0,148040.0,44985.48,99.35,460.8,116120.0,135501.3,21.44,2343.22,48.79,7565.62,27563.8,199547.8,18.44,25846.0,27449.65,190.76,441325.78
26363.96,232696.0,135230.0,78094.48,99.26,583.62,123122.0,134669.3,20.74,2332.28,43.14,7547.56,27683.3,184085.7,18.72,26089.0,30304.25,188.2,516879.56
26017.26,150572.0,126370.0,69308.88,99.47,528.56,121450.0,135428.8,20.96,2350.98,48.3,8343.26,27786.2,145074.5,18.45,26615.25,19072.2,184.26,564534.6
26374.93,219098.0,126750.0,54597.2,99.36,511.88,114140.0,134531.65,20.1,2346.35,48.1,8157.06,27494.7,138666.3,18.73,26042.75,42180.1,186.89,475023.72
28448.0,267604.0,130170.0,58132.48,99.18,525.94,110076.0,135189.0,20.82,2340.73,48.38,8486.42,27187.8,186766.0,18.89,25785.5,37290.45,189.66,461679.9
23482.96,216254.0,127400.0,35374.0,99.54,537.04,119858.0,135354.4,21.24,2333.84,48.5,7191.12,27426.7,170477.6,18.94,27212.25,37018.85,174.46,496622.99
26625.29,151448.0,147840.0,48062.0,99.66,531.4,120782.0,134727.6,20.6,2338.11,50.02,8028.24,27149.3,155057.7,19.2,26877.75,24378.9,188.53,533785.54
27256.78,133849.0,130740.0,59526.48,99.32,542.96,127508.0,134984.55,20.66,2336.43,47.47,8074.38,26205.2,178148.3,18.76,26970.75,31320.45,175.43,500530.2
23311.86,198914.0,129230.0,48040.56,99.39,617.42,111466.0,134204.3,20.66,2336.05,51.71,7126.02,26603.2,221226.8,19.04,25261.0,34401.7,185.61,470441.52
24091.98,197601.0,134880.0,57172.76,99.39,367.1,113346.0,135420.2,20.88,2339.23,50.37,8201.64,27361.5,109791.1,18.62,24583.25,27157.35,184.14,518016.28
28003.09,214682.0,134720.0,68233.76,99.15,570.94,109260.0,134375.9,21.26,2337.19,51.74,7459.56,27328.9,89448.6,18.69,25169.5,29532.95,186.77,530103.11
26357.57,226306.0,139270.0,73199.64,99.4,563.54,119480.0,133454.65,21.22,2343.26,50.31,8496.7,27235.3,132614.8,18.53,26133.0,37089.1,192.71,488541.95
27554.42,196700.0,114390.0,82412.0,99.47,592.72,117256.0,134859.5,20.4,2350.65,51.97,8897.92,27591.6,165292.9,18.57,26337.0,27330.15,187.72,458373.31
25899.98,198034.0,123430.0,73327.4,99.14,574.5,111340.0,134769.45,20.58,2340.75,51.94,7691.0,28032.5,86595.6,18.78,27080.25,28418.25,178.36,498071.57
22564.12,207936.0,109730.0,57499.0,99.42,557.44,111598.0,134201.3,21.68,2340.38,50.64,7710.0,27901.0,145370.8,18.44,26318.25,36135.35,188.47,438848.92
